#Diameter(nm)	Abs	Normalised Abs		volume	Normalised			Nb	normalised
766.925	0.000221	0.0042943474		0.169490425	0.0223993091			3.75739180367419E-010	0.0001570048
765.537	0.000221	0.0042943474		0.169183677	0.0223587703			3.77102925747163E-010	0.0001575746
764.147	0.00022	0.004274916		0.16811234	0.0222171858			3.76763528860431E-010	0.0001574328
762.781	0.000219	0.0042554845		0.167049039	0.0220766634			3.76395464295577E-010	0.000157279
761.414	0.000219	0.0042554845		0.166749666	0.0220370992			3.77748196137074E-010	0.0001578443
760.053	0.000218	0.0042360531		0.165691554	0.0218972625			3.773711875296E-010	0.0001576867
758.704	0.000217	0.0042166217		0.164638768	0.0217581297			3.76977114926319E-010	0.0001575221
757.361	0.000216	0.0041971902		0.163589976	0.0216195248			3.76571870926282E-010	0.0001573527
756.023	0.000215	0.0041777588		0.162544945	0.0214814168			3.76156390124839E-010	0.0001571791
754.698	0.000215	0.0041777588		0.16226007	0.0214437687			3.77478361922841E-010	0.0001577315
753.371	0.000214	0.0041583273		0.161221394	0.0213065006			3.77047422359628E-010	0.0001575514
752.053	0.000214	0.0041583273		0.160939342	0.0212692255			3.78370158823029E-010	0.0001581042
750.749	0.000213	0.0041388959		0.159909537	0.0211331298			3.77911474577062E-010	0.0001579125
749.442	0.000213	0.0041388959		0.159631146	0.0210963385			3.7923075210793E-010	0.0001584638
748.145	0.000214	0.0041583273		0.16010303	0.0211587012			3.8233338135984E-010	0.0001597602
746.86	0.000214	0.0041583273		0.15982804	0.0211223594			3.83650150348657E-010	0.0001603104
745.575	0.000213	0.0041388959		0.158807475	0.0209874848			3.83174790884635E-010	0.0001601118
744.299	0.000213	0.0041388959		0.158535687	0.0209515662			3.84489719794234E-010	0.0001606613
743.035	0.000212	0.0041194645		0.15752342	0.0208177882			3.83987704586186E-010	0.0001604515
741.769	0.000212	0.0041194645		0.157255028	0.0207823184			3.85299550401237E-010	0.0001609996
740.516	0.000212	0.0041194645		0.156989392	0.0207472128			3.86604556057063E-010	0.000161545
739.26	0.000212	0.0041194645		0.15672312	0.0207120232			3.87919351440945E-010	0.0001620943
738.014	0.000213	0.0041388959		0.157196982	0.0207746472			3.91066309238947E-010	0.0001634093
736.783	0.000213	0.0041388959		0.156934779	0.0207399953			3.92374169992688E-010	0.0001639558
735.549	0.000213	0.0041388959		0.156671937	0.020705259			3.93691814033438E-010	0.0001645064
734.323	0.000213	0.0041388959		0.156410799	0.0206707478			3.95007499597635E-010	0.0001650562
733.109	0.000214	0.0041583273		0.156885326	0.0207334598			3.98177459245082E-010	0.0001663808
731.895	0.000214	0.0041583273		0.15662553	0.020699126			3.99499474929836E-010	0.0001669332
730.682	0.000214	0.0041583273		0.156365948	0.0206648205			4.00826988397187E-010	0.0001674879
729.492	0.000214	0.0041583273		0.156111288	0.0206311654			4.02135770842095E-010	0.0001680348
728.288	0.000214	0.0041583273		0.155853632	0.0205971144			4.03466485291125E-010	0.0001685908
727.105	0.000215	0.0041777588		0.156327575	0.0206597492			4.06671930798058E-010	0.0001699302
725.92	0.000215	0.0041777588		0.1560728	0.020626079			4.08000726182085E-010	0.0001704855
724.741	0.000216	0.0041971902		0.156544056	0.0206883586			4.11233124402264E-010	0.0001718361
723.568	0.000216	0.0041971902		0.156290688	0.0206548743			4.12567532372575E-010	0.0001723937
722.406	0.000217	0.0042166217		0.156762102	0.0207171749			4.15812025379566E-010	0.0001737495
721.245	0.000218	0.0042360531		0.15723141	0.0207791971			4.19074140250703E-010	0.0001751126
720.092	0.000218	0.0042360531		0.156980056	0.020745979			4.20417244531314E-010	0.0001756738
718.94	0.000218	0.0042360531		0.15672892	0.0207127897			4.21765642710566E-010	0.0001762372
717.8	0.000219	0.0042554845		0.1571982	0.0207748082			4.25047246233402E-010	0.0001776085
716.658	0.000219	0.0042554845		0.156948102	0.0207417561			4.26402957612204E-010	0.0001781749
715.527	0.000218	0.0042360531		0.155984886	0.0206144605			4.25798807773088E-010	0.0001779225
714.394	0.000217	0.0042166217		0.155023498	0.0204874066			4.25191072294901E-010	0.0001776686
