#Diameter(nm)	Absorption	normalised		volume	Normalised			Nb	normalised
868.301	0.00004	0.0004328114		0.03473204	0.0025558211			5.30541534224128E-011	1.23718569975073E-005
866.838	0.00004	0.0004328114		0.03467352	0.0025515148			5.32333881266519E-011	1.24136532752121E-005
865.384	0.000041	0.0004436317		0.035480744	0.0026109158			5.47477321844013E-011	1.27667877033187E-005
863.944	0.000042	0.000454452		0.036285648	0.0026701462			5.62701541251543E-011	1.31218058371658E-005
862.503	0.000043	0.0004652723		0.037087629	0.0027291614			5.78025804610808E-011	1.34791569258986E-005
861.071	0.000043	0.0004652723		0.037026053	0.0027246303			5.79949969356485E-011	0.000013524
859.648	0.000042	0.000454452		0.036105216	0.0026568688			5.68339677061277E-011	1.32532832154121E-005
858.227	0.000042	0.000454452		0.036045534	0.002652477			5.7022327959859E-011	1.32972075073449E-005
856.815	0.000041	0.0004436317		0.035129415	0.0025850627			5.58482713121582E-011	1.30234257199573E-005
855.415	0.000041	0.0004436317		0.035072015	0.0025808388			5.60312270985417E-011	1.30660897279565E-005
854.023	0.000041	0.0004436317		0.035014943	0.002576639			5.6214030212281E-011	1.31087181337643E-005
852.632	0.00004	0.0004328114		0.03410528	0.0025096998			5.50220459468152E-011	1.28307557514753E-005
851.251	0.000039	0.0004219911		0.033198789	0.002442994			5.38206993622395E-011	1.25506101419416E-005
849.87	0.00004	0.0004328114		0.0339948	0.0025015699			5.53802603482499E-011	1.29142888410284E-005
848.497	0.00004	0.0004328114		0.03393988	0.0024975285			5.55596330917669E-011	1.2956117308526E-005
847.138	0.00004	0.0004328114		0.03388552	0.0024935284			5.57380363868904E-011	1.2997719707448E-005
845.785	0.000041	0.0004436317		0.034677185	0.0025517845			5.73144196723692E-011	1.33653212489508E-005
844.435	0.000041	0.0004436317		0.034621835	0.0025477114			5.74978235244559E-011	1.34080897427338E-005
843.083	0.00004	0.0004328114		0.03372332	0.0024815926			5.627549540215E-011	1.3123051385552E-005
841.752	0.000039	0.0004219911		0.032828328	0.0024157329			5.50422645235838E-011	1.28354705819709E-005
840.424	0.000039	0.0004219911		0.032776536	0.0024119217			5.52163525526852E-011	1.28760666910798E-005
839.093	0.000039	0.0004219911		0.032724627	0.0024081019			5.53916638801831E-011	1.29169480648071E-005
837.78	0.000039	0.0004219911		0.03267342	0.0024043337			5.5565423689852E-011	1.29574676354432E-005
836.459	0.000039	0.0004219911		0.032621901	0.0024005426			5.57410686064823E-011	1.29984267998198E-005
835.161	0.000041	0.0004436317		0.034241601	0.0025197312			5.87818764289856E-011	1.37075218868224E-005
833.859	0.000041	0.0004436317		0.034188219	0.002515803			5.89655855543487E-011	1.37503615681953E-005
832.568	0.000042	0.000454452		0.034967856	0.002573174			6.05912428887356E-011	1.4129453472798E-005
831.279	0.000042	0.000454452		0.034913718	0.0025691902			6.07792968767069E-011	1.41733063457007E-005
